문제,정답,설명
"호주에 사는 동물 '웜뱃'은 똥을 네모난 주사위 모양으로 싼다.","O","웜뱃의 똥은 신기하게도 정육면체 큐브 모양입니다. 덕분에 경사면에서도 똥이 굴러가지 않고 자기 영역을 표시할 수 있습니다."
"거북이 중에는 엉덩이로 숨을 쉬는 거북이도 있다.","O","겨울잠을 자거나 물속에 오래 있을 때 엉덩이 구멍(배설강)을 통해 물속의 산소를 흡수하기도 합니다."
"방귀를 억지로 계속 참으면 나중에 입으로 나온다.","X","방귀를 참으면 장에 흡수되어 혈관을 타고 돌다가, 결국 숨을 쉴 때 코와 입으로 가스 성분이 배출됩니다. 소리만 안 날 뿐 입으로 나오는 셈입니다."
"사람은 자기 팔꿈치를 혀로 핥을 수 있다.","X","사람의 신체 구조상 팔꿈치를 혀로 핥는 것은 불가능합니다. (지금 한번 도전해 보세요!)"
"우주비행사들은 우주복을 입으면 화장실을 못 가서 기저귀를 찬다.","O","우주 유영을 하거나 이착륙할 때는 화장실을 갈 수 없어서, '최대 흡수 의복'이라 불리는 특수 기저귀를 착용합니다."
"돼지는 목 뼈 구조 때문에 하늘을 올려다볼 수 없다.","O","돼지는 목 뼈가 특이하게 생겨서 고개를 들어 하늘을 보는 것이 불가능합니다. 누워야만 하늘을 볼 수 있습니다."
"간지럼을 아주 잘 타는 사람은, 자기 자신이 태워도 간지럼을 느낀다.","X","우리 뇌는 내가 나를 만질 것이라는 걸 미리 알고 대비하기 때문에, 스스로 간지럼을 태우면 아무 느낌이 없습니다."
"펭귄은 다리가 짧아서 무릎이 없다.","X","펭귄도 엑스레이를 찍어보면 무릎 뼈가 있습니다. 다만 털과 지방 속에 웅크린 자세로 숨겨져 있어서 밖에서 안 보일 뿐입니다."
"하마가 흘리는 땀은 피처럼 붉은색이다.","O","하마는 붉은색 땀을 흘리는데, 이 땀은 햇빛으로부터 피부를 보호하는 자외선 차단제와 세균을 막는 약 역할을 합니다."
"바퀴벌레는 머리가 잘려도 일주일 정도는 살 수 있다.","O","바퀴벌레는 배에 있는 숨구멍으로 숨을 쉬기 때문에 머리가 없어도 살 수 있습니다. 다만 물을 못 마셔서 결국 말라 죽습니다."
"새우의 심장은 머리에 있다.","O","새우는 머리라고 생각되는 부분(두흉부)에 심장, 위, 간 등 중요한 장기들이 모두 모여 있습니다."
"코끼리는 덩치가 커서 점프를 할 수 없다.","O","코끼리는 지구상에 있는 포유류 동물 중에서 점프를 하지 못하는 유일한 동물입니다. 네 다리가 땅에서 동시에 떨어지는 일이 없습니다."
"뱀은 눈꺼풀이 없어서 눈을 뜨고 잔다.","O","뱀은 눈을 감게 해주는 눈꺼풀이 아예 없습니다. 대신 투명한 비늘이 눈을 덮어 보호하고 있어서 항상 눈을 뜨고 있습니다."
"타조는 머리가 작아서 뇌가 눈알보다 작다.","O","타조는 눈이 아주 크고 시력이 좋지만, 뇌의 크기는 자신의 눈알 하나 크기보다 작습니다."
"모기는 비가 와도 빗방울에 맞지 않고 날 수 있다.","O","모기는 너무 가벼워서 빗방울에 맞지 않고, 빗방울이 밀어내는 공기의 흐름을 타고 요리조리 피해서 날 수 있습니다."
"사람은 눈을 뜨고 재채기를 할 수 있다.","X","재채기를 할 때 눈을 감는 것은 우리 몸의 자동 반사 행동이라서, 억지로 눈을 뜨고 하는 것은 거의 불가능합니다."
"나무늘보는 게을러서 똥도 일주일에 한 번만 싼다.","O","나무늘보는 소화가 너무 느려서 일주일에 한 번 정도만 나무에서 내려와 똥을 쌉니다. 이때 몸무게가 1kg이나 줄어들기도 합니다."
"플라밍고(홍학)가 분홍색인 이유는 분홍색 먹이를 먹어서다.","O","원래는 흰색으로 태어나지만, 붉은 색소가 들어있는 새우나 조류를 먹으면서 털 색깔이 점점 분홍색으로 변합니다."
"사람은 자면서 자기도 모르게 1년에 거미를 8마리씩 먹는다.","X","서양의 유명한 헛소문입니다. 거미는 사람의 숨결이나 진동을 싫어해서 자는 사람 입 근처에는 얼씬도 하지 않습니다."
"방귀 냄새가 독하면 소리가 작다.","X","냄새와 소리는 관계가 없습니다. 소리는 가스의 양과 항문 모양 때문이고, 냄새는 먹은 음식(달걀, 고기 등) 때문입니다."
